1	Si pasojë e rezistencës ndaj tatimeve u zhvillua Lufta e Pavarësisë së Amerikës nga 1775-ta deri më 1783-ta. Kështu më 4 qershor 1776 13-të kolonit angleze shpallin pavarësinë. 
ita	-336.4355083146873
pol	-261.6346051750708
eng	-429.58608168321183
spa	-326.62243314591325
result	fra
6	En su afán por ampliar su territorio hacia el oeste, el estado comenzó un ciclo de guerras indias que se extendío hasta finales del siglo XIX, despojando a los nativos americanos de sus tierras. 
tgl	-377.27260879315344
nob	-319.99939882924605
deu	-517.9394321456472
gla	-302.9730514626109
fra	-483.53530671975363
por	-474.4310509797795
fin	-494.73746150805255
swh	-312.3722840412114
swe	-503.2358284747995
dan	-488.1665728585686
dut	-506.6752830483812
ita	-461.2832142334673
pol	-333.1349463220386
eng	-539.7281418802429
spa	-339.5350317288797
result	spa
7	Estats Units és el tercer o quart país més gran del món-depenent de com es consideren les disputes territorials entre la Xina i l'Índia.
tgl	-268.9051856015444
nob	-223.4330708655096
deu	-362.1174510379276
gla	-216.98385456619076
fra	-355.57349966797136
por	-329.39355511905546
fin	-374.10854116480294
swh	-218.83260058828833
swe	-361.99183795927144
dan	-350.25800843997644
dut	-372.93964072645446
ita	-329.94087550957073
pol	-231.7976100341998
eng	-397.2505850827651
spa	-285.9677296092465
result	spa
8	Ós rud é go bhfuil náisiúnachas an stáit bunaithe ar an mbunreacht agus ar an traidisiún daonlathach in áit aon náisiúntacht nó eitneach ar leith, 
tgl	-286.6288733793743
nob	-249.49451412569033
deu	-372.5496235159259
gla	-174.61191612219014
fra	-398.8704646982505
por	-407.78780350983084
fin	-395.8357844591473
swh	-230.94937014194608
swe	-401.7848751788409
dan	-417.2460159858495
dut	-408.04182299005265
ita	-404.934195621407
pol	-249.86499307135136
eng	-367.38911978170313
spa	-420.78578308884806
result	gla
9	gwerthodd Rwsia Alaska i'r Unol Daleithiau am 7,200,000 o ddoleri; roedd llawer o bobol yn y Senedd yn meddwl bod hynny'n ormod i'w dalu am "greigiau ac iâ", ond mae llawer o aur ac olew wedi 
tgl	-394.61499387341735
nob	-353.6635911254394
deu	-574.0989222041592
gla	-319.12656263517556
fra	-588.4304587235515
por	-551.8797870506407
fin	-563.3047701918634
swh	-330.22212884356634
swe	-584.2867119072924
dan	-593.7731765952475
dut	-598.2762133159079
ita	-563.6001015262024
pol	-346.0131489857806
eng	-578.8619374451205
spa	-548.6254485603351
result	spa
10	Daneben werden noch viele Sprachen der amerikanischen Ureinwohner und die Sprachen anderer Immigranten gesprochen.  
tgl	-165.36281156502366
nob	-141.2310925637192
deu	-149.54661827151983
gla	-135.35112303936822
fra	-242.55513323758703
por	-241.92859457461245
fin	-228.36679872643114
swh	-133.87383601766203
swe	-236.87299131376716
dan	-228.79150506200162
dut	-215.03848476161545
ita	-240.66881617324174
pol	-145.3525584305948
eng	-242.51622450335083
spa	-242.76102870510482
result	deu
11	Od konce 18. století pak zacala územní expanze Spojených státu smerem na západ a na jih. Postupne byly do Unie prijaty dalsí státy:
tgl	-252.16734665058803
nob	-228.22318688203433
deu	-369.88593610189537
gla	-197.35155413263294
fra	-369.96079348221116
por	-339.30949233075535
fin	-352.37286623619934
swh	-202.3230652180944
swe	-372.39691560281454
dan	-370.8580320166788
dut	-345.5425851549801
ita	-373.1195902183032
pol	-204.17389164378653
eng	-365.61502589087246
spa	-375.85931206487317
result	Unknown
12	Aceste evenimente au fost urmate de colonizarea intensiva a coastei de est de catre Marea Britanie. Colonizatorii din Marea Britanie au fost lasati în pace de catre patria lor deorigine pâna la 
tgl	-350.3515843666947
nob	-294.7584735864367
deu	-451.24017439936114
gla	-277.14259446114056
fra	-413.72540214697455
por	-434.54726540851027
fin	-460.5280845683889
swh	-283.6403060656994
swe	-474.80194708426234
dan	-442.8866615488391
dut	-439.6127763426184
ita	-427.6399279612728
pol	-315.14089955907923
eng	-493.50640043415723
spa	-430.9563446392592
result	fra
13	Przestawali byc juz poddanymi brytyjskimi i jawnie zaczeli dazyc do niezaleznosci. Zachodzace w tym czasie procesy i wydarzenia tego okresu zwane sa rewolucja amerykanska. 
tgl	-268.8442712506226
nob	-226.92930080343177
deu	-400.47310690815755
gla	-209.35050467291472
fra	-394.856851139224
por	-391.0243810274205
fin	-380.61133121071856
swh	-223.12306002943672
swe	-370.1277687903011
dan	-375.8569449678079
dut	-404.2406846729107
ita	-370.7120249978677
pol	-194.44891996394983
eng	-394.03957797303235
spa	-404.60171450850777
result	pol
14	Vrhovni sud Sjedinjenih Americkih Drzava broji devet sudaca, koji imaju dozivotni mandat. Nakon smrti ili povlacenja suca, predsjednik SAD-a nominira novog suca, 
tgl	-253.55631106636963
nob	-220.7066855727261
deu	-368.43525835550497
gla	-207.53838866036463
fra	-364.80391485473405
por	-370.9571783477391
fin	-350.16242471386107
swh	-203.88692086596188
swe	-363.20525334777625
dan	-369.10224491055914
dut	-371.9014298990778
ita	-369.02551813230406
pol	-222.87392292691214
eng	-371.85821090513775
spa	-372.2335773478272
result	Unknown
15	Kwa kawaida maeneo haya huchagua pia wawakilishi kwa ajili ya bunge la Marekani lakini wawakilishi wale si wabunge wa kawaida wakiwa na haki ya kusema na kushauriana tu bila haki ya kupiga kura.
tgl	-358.2820866422252
nob	-322.37023663548433
deu	-535.6419559151456
gla	-295.8262850222533
fra	-526.7711211227509
por	-508.76733973202124
fin	-517.6314104465772
swh	-227.3343978275835
swe	-536.9121136445389
dan	-536.6279360400084
dut	-522.9703738273043
ita	-521.7342939453227
pol	-315.98950675472344
eng	-549.7034422075948
spa	-488.0245593614294
result	swh
16	har även kritiserats och anklagats för att bryta mot internationella arbetslivsnormer. International Labour Organization, FN:s fackorgan, kritiserade 1991 USA i samband med en strejk anordnad av Caterpillar-anställda.
tgl	-307.5786359660426
nob	-235.0317068645731
deu	-433.00307763300896
gla	-247.94589947217506
fra	-433.5654599255038
por	-443.527887897755
fin	-411.2632215671715
swh	-248.28838932053503
swe	-302.21745899584806
dan	-392.9530818913904
dut	-440.08300126763515
ita	-429.7245078732116
pol	-265.04250899021446
eng	-445.77529422210347
spa	-440.3317218663988
result	nob
17	Natatag ang Amerika sa ilalim ng tradisyon ng pamahalaang may pagsang-ayon ng pinapamahalaan sa modelong demokrasyang representatibo. Nakopya rin ng maraming pang bansa, 
tgl	-194.00770234849966
nob	-230.30262842371417
deu	-384.45418263183126
gla	-209.2866245435364
fra	-369.2848046666305
por	-387.08575131937994
fin	-365.3868779622898
swh	-214.19813762825925
swe	-378.9967861020274
dan	-385.1501686023226
dut	-388.07105728599424
ita	-370.0856997919493
pol	-222.6244668897998
eng	-379.03253183494854
spa	-388.4176459281675
result	tgl
18	Cada estado ket mabirokan iti agsasabali ken nadumaduma nga Konstitusion, maikadua nga kalintegan iti estado kalpasan a masurot iti federal. Dagitoy nga linteg iti kangrunaan a makaapekto iti biag dagiti tattao. 
tgl	-344.33844880300785
nob	-307.0701712316188
deu	-497.2360089553961
gla	-278.6238724179316
fra	-495.0394278792983
por	-475.38249379561864
fin	-474.31020321298087
swh	-285.597516837679
swe	-505.3290481360365
dan	-498.6768917480486
dut	-502.57140999294404
ita	-489.52577651848185
pol	-300.81600000880985
eng	-492.854338043275
spa	-477.0819118390257
result	Unknown
19	De natie begon spoedig zich westelijk uit te breiden. De groeiende spanningen over de kwestie van de zwarte slavernij verdeelden het land volgens geografische lijnen. Er volgde een burgeroorlog 
tgl	-325.4475084708166
nob	-264.44016312991585
deu	-446.485790770301
gla	-261.5323111213953
fra	-441.1870705148791
por	-440.55468240340684
fin	-429.06565189791263
swh	-267.74767203532406
swe	-417.1158393283911
dan	-403.7749355147969
dut	-317.9452118954394
ita	-462.1983885149238
pol	-287.81474510329366
eng	-455.298133785319
spa	-432.0623743561565
result	dut
20	La aktuala nacio estis fondita je la originalaj dektri kolonioj de britujo, kiuj situas ce la plej orienta landlimo de la lando. 
tgl	-248.27819640713912
nob	-204.88808995200276
deu	-307.0356059199617
gla	-199.75474806414334
fra	-273.09969178056264
por	-302.7764388904465
fin	-337.15684462202984
swh	-191.70868972307667
swe	-340.04593644476364
dan	-303.52279668139914
dut	-301.54430260761154
ita	-287.2850745437447
pol	-222.87392292691214
eng	-357.971966059499
spa	-279.81843925116806
result	fra
21	Hindi karatig ng dalawang estado (Alaska at Haway) ang natitirang apatnapu't walo. Pareho din nilang hindi karatig ang isa't isa. 
tgl	-188.5280705583704
nob	-196.88007088252027
deu	-336.3974098028524
gla	-189.49157225511553
fra	-339.5771865326218
por	-331.45795004520045
fin	-319.7135182170036
swh	-187.42337042472684
swe	-331.622187839274
dan	-324.1102223311283
dut	-339.56217512524495
ita	-336.9363426425385
pol	-200.72099308059302
eng	-328.80485801000617
spa	-332.01963268450885
result	tgl
22	Erbyn 1862 yr oedd brwydro ar raddfa eang wedi datblygu, gyda niferoedd mawr yn cael eu lladd. Ym mis Medi 1862, cyhoeddodd Lincoln ryddid y caethion. 
tgl	-296.5544485283744
nob	-257.7041626155586
deu	-432.5109554608101
gla	-231.54500266812246
fra	-409.9345108103615
por	-426.5889397258688
fin	-411.06023770757605
swh	-240.97290483179165
swe	-426.3713843647808
dan	-433.29393967761297
dut	-436.57993944674354
ita	-433.2038691118352
pol	-261.6346051750708
eng	-436.5292041060312
spa	-416.4595815845774
result	Unknown
23	La plana costanera de l'Atlàntic dóna lloc a boscos caducifolis i la serralada de Piedmont. La cadena muntanyenca dels Apalatxes separen el litoral dels Grans Llacs i les pastures de l'Oest Mitjà.
tgl	-355.881013454206
nob	-283.5607598770768
deu	-474.71149991876865
gla	-271.61535435662654
fra	-435.93687054627725
por	-461.7305562774656
fin	-476.4624366920322
swh	-288.84568543658816
swe	-448.7456874328221
dan	-428.43571720739703
dut	-467.3169671501268
ita	-424.04994843494273
pol	-302.5763660652872
eng	-500.44952285697667
spa	-424.25892004886975
result	nob
24	Kritisko punktu saspilejums sasniedz 19.gadsimta. iecelotaji, galvenokart no Eiropas, virzidamies arvien vairak uz rietumiem un cenzdamies iegut indianiem piederosas zemes, 
tgl	-231.50793619103314
nob	-201.51479987074993
deu	-328.94384793120906
gla	-189.49157225511553
fra	-320.9911302072897
por	-319.765314531148
fin	-319.7135182170036
swh	-187.42337042472684
swe	-331.622187839274
dan	-329.55399507580853
dut	-332.1232035328491
ita	-318.255949061432
pol	-203.4935818028328
eng	-329.6924966140827
spa	-316.4649158085398
result	Unknown
25	Este estimat ca 2,9 milioane de oameni au locuit pe teritoriul care astazi apartine Statelor Unite, înainte de diminuarea lor numerica ca urmare a epidemiilor cauzate de boli infectioase, 
tgl	-322.80845114120143
nob	-269.68811194443833
deu	-436.7082888427717
gla	-253.9641901513776
fra	-422.02132923028785
por	-414.94400690193294
fin	-430.789076946746
swh	-264.45183516931974
swe	-439.0070072730153
dan	-416.56760322819633
dut	-428.8586770147017
ita	-425.97869188986266
pol	-284.1244777239049
eng	-444.921628925853
spa	-415.857186770697
result	por
26	Tá na Stát Aontaithe ar an t-aon ollchumhacht amháin ar an domhan inniu, nó is í an tír seo atá chun tosaigh ó thaobh na heacnamaíochta, na n-armálacha agus an chultúir de. 
tgl	-339.3205245083937
nob	-311.6756814958282
deu	-476.6553585301678
gla	-208.11873692123206
fra	-491.385219508337
por	-485.24101640865183
fin	-495.9041671522329
swh	-276.70983062360915
swe	-509.5409224387813
dan	-517.6038919623232
dut	-481.0787749348038
ita	-519.901773665352
pol	-302.4800552389543
eng	-471.69695444980607
spa	-520.3477357310808
result	gla
27	Manipud idi tengnga iti 20-siglo, timmanor iti Estados Unidos nga nabileg a nasion no maipanggep iti ekonomia, militar, siensia, teknolohia, politica, cultura, ken nadumaduma pay nga banbanag.
tgl	-293.20511090150995
nob	-268.6863998276665
deu	-440.84509579361367
gla	-247.5928346404604
fra	-434.4604984671927
por	-395.18954640383816
fin	-419.8485405876354
swh	-249.89782723296912
swe	-442.16291711903193
dan	-441.9135301751856
dut	-445.32123363946914
ita	-412.4823822849756
pol	-266.6900467488809
eng	-422.92376863021684
spa	-396.0278690542475
result	por
28	De flesta poliser verkar inom den delstatliga jurisdiktionens område. År 2000 fanns det 95 673 federala poliser, men 718 736 poliser som verkade inom ramen för en delstatlig jurisdiktion.
tgl	-329.11618521761307
nob	-255.8859602003572
deu	-452.4757719037199
gla	-266.9180564448182
fra	-456.4950402392129
por	-459.36450882053606
fin	-440.39311101384493
swh	-266.64905974665595
swe	-328.87969301723814
dan	-395.42464405019894
dut	-443.6625522362988
ita	-465.17759488023836
pol	-288.62567531951
eng	-469.8187933359853
spa	-455.70135324259945
result	nob
29	En medio siglo, hasta 40 millones de búfalos, fueron sacrificados para las pieles y la carne y para facilitar la propagación de los ferrocarriles. 
tgl	-258.0311150758107
nob	-218.6283242675102
deu	-363.2927513238603
gla	-211.44545680869655
fra	-321.66822964794096
por	-327.55149108576484
fin	-359.4613622533397
swh	-214.54214114713994
swe	-363.07489840782955
dan	-350.6311132225058
dut	-350.2367972690429
ita	-349.7155015669197
pol	-242.25426405099148
eng	-390.3074626599457
spa	-211.85600437185028
result	spa
30	Obnovení predválecného stavu fakticky posílilo postaveni USA a nakrátko zaprícinilo faktickou vládu jedné strany (dnes oznacována jako demokraté-republikáni) v USA (tzv. era of good feelings, éra dobré shody). Z jednotlivých teritorií byly postupne vytváreny dalsí státy: 
tgl	-405.3299858362632
nob	-351.1580651884486
deu	-570.1778525150487
gla	-327.4172141029613
fra	-587.0969004722709
por	-575.4471756672975
fin	-543.5500319841267
swh	-328.61269093113225
swe	-562.2766697697559
dan	-570.1524268577566
dut	-580.5059118572885
ita	-573.1151270050804
pol	-343.49272348161867
eng	-563.879992471975
spa	-578.0585269433418
result	Unknown
31	Me blerjen e tokave në vitin 1803 sipërfaqja e ShBA-së shtrihej në tërë hapësirën në mes të Misisipit dhe maleve Roki. 
tgl	-241.83897644814144
nob	-206.95185963837832
deu	-352.4163340791787
gla	-198.51498045774008
fra	-347.21722191789934
por	-329.53831863081547
fin	-326.662085795958
swh	-196.3482928259043
swe	-347.4137205935251
dan	-353.0543212187957
dut	-355.7318025121614
ita	-327.86616192272515
pol	-213.18375236487248
eng	-355.6904626049144
spa	-321.93914146260425
result	Unknown
32	À medida que a população dos estados do Leste crescia, e um número cada vez maior de imigrantes entrava no país, cada vez mais assentadores passaram a habitar regiões cada vez mais a Oeste 
tgl	-383.207502988773
nob	-328.7881256561245
deu	-508.91258217534215
gla	-290.3835740339717
fra	-469.856696192937
por	-303.1592487638691
fin	-507.04462254398203
swh	-312.3722840412114
swe	-541.1239879472837
dan	-519.0107152699671
dut	-521.4826105156376
ita	-488.2430143670624
pol	-319.9736680474687
eng	-502.1733095160287
spa	-391.0942945882198
result	por
33	De rest van de 19e eeuw werd gekenmerkt door verhoogde westelijke uitbreiding, industrialisatie, en de toevloed van miljoenen immigranten. In de 20e eeuw namen de Verenigde Staten deel aan beide Wereldoorlogen.
tgl	-342.21776868692257
nob	-276.8428133485981
deu	-436.13518979948975
gla	-272.48863411098307
fra	-442.9583008911071
por	-446.46639990619025
fin	-439.36631689532635
swh	-285.597516837679
swe	-424.6869418975742
dan	-429.6364019617185
dut	-309.6025794909987
ita	-457.08217081503625
pol	-310.08545798526916
eng	-458.575263852758
spa	-424.8969406713155
result	nob
34	Zajscie nazwano ironicznie herbatka bostonska. Reakcja brytyjska bylo zamkniecie bostonskiego portu, co spowodowalo zaklócenia handlu w regionie. 
tgl	-198.4353738780284
nob	-172.72697131778568
deu	-288.34063697387353
gla	-162.42134764724187
fra	-291.0661598851044
por	-290.3143134895349
fin	-274.04015847171735
swh	-160.64860322119443
swe	-284.24758957652057
dan	-288.86262645174185
dut	-291.05329296449565
ita	-288.8025794078901
pol	-161.73338683853171
eng	-291.0194694040209
spa	-291.3132344461257
result	Unknown
35	Bertako biztanle indiarrak desagertzeraino hil zituzten, kolonoek ekarritako gaixotasunen epidemiak (baztanga, elgorria) eta haiekin izandako liskar odoltsuak zirela bide.
tgl	-220.4837487533649
nob	-191.91885701976184
deu	-320.3784855265261
gla	-180.46816405249098
fra	-323.40684431678267
por	-322.5714594328166
fin	-304.48906496857484
swh	-178.49844802354937
swe	-315.83065508502284
dan	-320.95847383526876
dut	-323.3925477383285
ita	-320.8917548976557
pol	-193.80341124079314
eng	-323.35496600446766
spa	-323.6813716068063
result	Unknown
36	Heute zeigen sich weiterhin große Unterschiede in der Sozialstruktur zwischen weißer und schwarzer Bevölkerung: Schwarze haben im Durchschnitt ein geringeres Einkommen, 
tgl	-242.53212362870138
nob	-208.40269252063575
deu	-222.13313117154772
gla	-195.18277594756486
fra	-355.7475287484609
por	-354.82860537609827
fin	-334.9379714654323
swh	-195.2496805372362
swe	-338.61874416183633
dan	-341.1269709043458
dut	-343.3633134423869
ita	-340.7558446418758
pol	-210.69884571508447
eng	-343.19194051891157
spa	-356.0495087674869
result	deu
37	Zamani vilikuwa kama koloni hata kama Marekani ilidai kutokuwa na koloni. Siku hizi maeneo haya yamepata viwango mbalimbali vya kujitawala. 
tgl	-225.30136026430822
nob	-201.51479987074993
deu	-336.3974098028524
gla	-184.00677532162487
fra	-339.5771865326218
por	-327.4687936865388
fin	-319.7135182170036
swh	-154.06191828012123
swe	-331.622187839274
dan	-337.0063975270322
dut	-330.66449281179075
ita	-336.9363426425385
pol	-197.728390700048
eng	-339.522714304691
spa	-330.9856893886335
result	swh
38	L'Amérique du Nord devient rapidement un enjeu entre les puissances coloniales : l'Angleterre assure peu à peu sa suprématie en remportant les guerres anglo-néerlandaises puis la guerre de la conquête (1763) contre la France, qui perd ses possessions de l'est du Mississippi 
tgl	-450.2841958511919
nob	-381.96925710571674
deu	-562.045939489972
gla	-367.5619177542831
fra	-423.07649854838564
por	-546.6839180672114
fin	-618.0592808730263
swh	-361.9753625260085
swe	-628.2296080022312
dan	-547.5460971244312
dut	-555.3651497991124
ita	-533.1385919229502
pol	-402.7104974866498
eng	-657.6106277845731
spa	-527.4852177270703
result	fra
39	Predsjednik SAD je predsjednik drzave i predsjednik vlade u jednoj osobi (personalna unija). Predsjednik SAD je takoder vrhovni zapovjednik oruzanih snaga Sjedinjenih Americkih drzava.
tgl	-275.60468594170607
nob	-233.41393603906698
deu	-385.1803994632656
gla	-220.8756748643014
fra	-382.2081925946833
por	-389.15792142690475
fin	-380.61133121071856
swh	-223.12306002943672
swe	-382.4580438232898
dan	-374.4307458135032
dut	-377.4378749680677
ita	-375.6066072138787
pol	-234.18023783486746
eng	-404.1937075055845
spa	-390.50494169106406
result	Unknown
40	Gia ratifeco dum la sekvonta jaro kunigis la substatojn je unuopa federala republiko. En 1791, la unua dek amendoj al la Usona Konstitucio estis ratifita. 
tgl	-286.6288733793743
nob	-238.87766018541294
deu	-372.8397995422431
gla	-234.6086132682383
fra	-347.5362489287646
por	-376.32907862495205
fin	-387.6913955935997
swh	-214.88614466602064
swe	-402.02574806509335
dan	-358.20888941804054
dut	-357.5483051583705
ita	-349.4038663135185
pol	-250.55814025191125
eng	-420.36145580580785
spa	-338.75046309677555
result	spa
